Date,Company Name,Company Ticker,ceoRating,ceoRatingSize,upMgmtRating,upMgmtRatingSize,overallRating,overallRatingSize,Price,PriceMA10,PriceMA14
2022/2/20,Accenture,ACN,0.940788,27786,3.64083,48503,4.04173,65895,319.091461,330.46262870097985,333.76935756009584
2022/1/23,Accenture,ACN,0.939961,27786,3.62221,48503,4.03389,65895,333.447510,354.5325684832294,360.75317187364675
2021/12/19,Accenture,ACN,0.940507,27786,3.60198,48503,4.02268,65895,392.645416,376.84201458236913,373.6439478061846
2021/11/21,Accenture,ACN,0.941606,27786,3.58405,48503,4.01615,65895,366.435364,365.09490545279067,363.0840255057762
2021/10/24,Accenture,ACN,0.942256,27786,3.57198,48503,4.01104,65895,350.580536,339.16068125785193,336.582365976249
2021/9/19,Accenture,ACN,0.940098,27786,3.55736,48503,4.00858,65895,331.373535,335.6633586480115,334.7564532023415
2021/8/22,Accenture,ACN,0.939009,27786,3.54331,48503,4.00087,65895,328.656525,321.81672270237317,320.15894635622806
2021/7/18,Accenture,ACN,0.939102,27786,3.51993,48503,3.98819,65895,308.165558,305.26793545839223,302.53839123051847
2021/6/20,Accenture,ACN,0.935631,27786,3.49557,48503,3.97476,65895,277.091461,279.4341203021304,279.4501612025378
2021/5/23,Accenture,ACN,0.933557,27786,3.47861,48503,3.96394,65895,279.189941,280.81005973864154,281.4227862380547
2021/4/18,Accenture,ACN,0.927311,27786,3.44722,48503,3.94493,65895,282.717041,279.12377379547985,277.15257130608023
2021/3/21,Accenture,ACN,0.922931,27786,3.43078,48503,3.93069,65895,259.077942,257.55195906253783,256.29446474661324
2021/2/21,Accenture,ACN,0.920453,27786,3.4087,48503,3.91201,65895,249.757095,251.4752572111388,251.03730624087922
2021/1/24,Accenture,ACN,0.918954,27786,3.37847,48503,3.89123,65895,250.228561,252.66518632290996,252.62186765870132
2020/12/27,Accenture,ACN,0.916687,27786,3.3624,48503,3.88177,65895,251.852798,250.73280514195028,249.22614514062275
2020/11/29,Accenture,ACN,0.915311,27786,3.33999,48503,3.87156,65895,244.824814,239.97153284479566,237.8985821259236
